pba_code,pba_label,cendiv,cendiv_label,pubclim,pubclim_label,sqft,floor_count,year_built_category,operating_hours,occupancy_pct,site_eui,weight
7,Public order and safety,9,Pacific,7,Withheld for confidentiality,900000,18,2,50,,24.9265,6.59
91,Other,7,West South Central,4,Warm,10000,1,5,45,,61.3355,1413.09
5,Nonrefrigerated warehouse,5,South Atlantic,4,Warm,80000,1,4,70,,52.7282,213.58
14,Education,5,South Atlantic,3,Mixed mild,21000,1,4,72,,102.236,1218.58
2,Office,7,West South Central,5,Hot or very hot,44000,2,6,45,88.0,27.2075,244.16
5,Nonrefrigerated warehouse,2,Middle Atlantic,3,Mixed mild,20000,1,3,50,,45.8622,6659.94
18,Lodging,3,East North Central,2,Cool,27000,1,8,168,,107.4989,227.11
25,Retail other than mall,5,South Atlantic,4,Warm,1500,1,9,55,,27.4933,21.45
14,Education,7,West South Central,5,Hot or very hot,90000,2,8,40,,37.0103,99.04
25,Retail other than mall,4,West North Central,3,Mixed mild,4500,1,3,72,,60.3531,8544.65
23,Strip shopping center,8,Mountain,2,Cool,83000,1,6,133,97.0,187.7492,190.79
15,Food service,7,West South Central,4,Warm,4650,1,8,67,,626.7912,1218.03
5,Nonrefrigerated warehouse,3,East North Central,2,Cool,55000,1,7,40,,54.6764,1011.03
8,Outpatient health care,7,West South Central,5,Hot or very hot,1950,1,5,61,100.0,68.3251,1218.03
15,Food service,3,East North Central,2,Cool,2000,1,4,54,,308.438,1265.79
14,Education,4,West North Central,1,Cold or very cold,168000,3,5,85,,49.5519,51.3
2,Office,7,West South Central,4,Warm,66000,5,2,35,75.0,39.8342,14.9
14,Education,6,East South Central,4,Warm,68000,3,7,50,,42.3222,330.8
26,Service,4,West North Central,1,Cold or very cold,63000,2,9,40,,58.018,99.04
17,Nursing,5,South Atlantic,5,Hot or very hot,400000,7,6,168,,27.4114,9.01
14,Education,1,New England,2,Cool,92000,2,8,50,,82.8511,324.59
8,Outpatient health care,7,West South Central,4,Warm,186000,5,7,55,85.0,64.2037,8.78
26,Service,4,West North Central,2,Cool,1450,1,2,20,,60.9366,2990.63
2,Office,3,East North Central,2,Cool,49000,4,7,70,100.0,99.9892,253.07
2,Office,5,South Atlantic,7,Withheld for confidentiality,1700000,18,6,60,90.0,45.8533,14.9
25,Retail other than mall,6,East South Central,4,Warm,200001,1,7,168,,82.5195,18.35
5,Nonrefrigerated warehouse,4,West North Central,1,Cold or very cold,5600,1,7,40,,1.2914,2990.63
5,Nonrefrigerated warehouse,4,West North Central,3,Mixed mild,700000,3,5,168,,133.9456,58.26
15,Food service,4,West North Central,1,Cold or very cold,2500,2,3,72,,80.7016,1218.03
23,Strip shopping center,7,West South Central,4,Warm,136000,1,8,75,100.0,158.6241,175.02
15,Food service,8,Mountain,3,Mixed mild,6600,1,8,74,,187.4552,2990.63
2,Office,7,West South Central,5,Hot or very hot,245000,9,6,60,92.0,56.2871,14.9
2,Office,8,Mountain,4,Warm,8800,1,5,40,100.0,72.9338,4384.99
5,Nonrefrigerated warehouse,2,Middle Atlantic,3,Mixed mild,72000,1,4,45,,14.4124,213.58
23,Strip shopping center,3,East North Central,2,Cool,5700,2,5,42,83.0,130.2102,2009.74
14,Education,7,West South Central,5,Hot or very hot,166000,1,3,60,,76.0974,99.38
13,Public assembly,7,West South Central,4,Warm,59000,1,3,128,,193.1071,99.04
16,Inpatient health care,5,South Atlantic,7,Withheld for confidentiality,215000,4,4,168,,278.0256,85.53
14,Education,2,Middle Atlantic,2,Cool,47500,2,2,45,,76.3857,303.46
2,Office,2,Middle Atlantic,3,Mixed mild,235000,12,7,105,100.0,78.2184,8.84
14,Education,6,East South Central,4,Warm,152000,2,3,40,,119.0208,97.52
2,Office,5,South Atlantic,3,Mixed mild,86000,4,2,40,100.0,104.7394,137.69
14,Education,5,South Atlantic,3,Mixed mild,24500,2,4,40,,85.7376,429.63
25,Retail other than mall,5,South Atlantic,5,Hot or very hot,205000,1,8,133,,109.5461,14.9
8,Outpatient health care,2,Middle Atlantic,2,Cool,2000,3,2,24,100.0,40.3195,1195.14
26,Service,5,South Atlantic,4,Warm,3900,1,9,77,,89.1218,6659.94
12,Religious worship,5,South Atlantic,4,Warm,50000,3,4,50,,50.1461,468.41
18,Lodging,5,South Atlantic,4,Warm,36000,2,6,168,,38.8658,429.63
26,Service,8,Mountain,1,Cold or very cold,6300,1,3,50,,32.5513,2577.06
15,Food service,9,Pacific,2,Cool,2550,1,3,92,,188.1467,1265.79
5,Nonrefrigerated warehouse,5,South Atlantic,4,Warm,150000,1,5,40,,13.446,32.47
8,Outpatient health care,2,Middle Atlantic,3,Mixed mild,7200,3,9,60,100.0,53.9778,784.42
8,Outpatient health care,2,Middle Atlantic,3,Mixed mild,20250,4,5,51,85.0,56.4337,677.21
5,Nonrefrigerated warehouse,9,Pacific,4,Warm,15750,1,6,40,,21.2356,1531.55
14,Education,5,South Atlantic,3,Mixed mild,150000,4,8,50,,57.4412,99.04
2,Office,4,West North Central,3,Mixed mild,6200,1,8,41,100.0,115.1529,14.9
5,Nonrefrigerated warehouse,3,East North Central,3,Mixed mild,72000,1,6,168,,18.7199,209.56
7,Public order and safety,7,West South Central,7,Withheld for confidentiality,14250,1,6,40,,19.957,1426.39
2,Office,9,Pacific,4,Warm,11000,2,8,56,100.0,37.6468,15.06
12,Religious worship,5,South Atlantic,4,Warm,82000,3,8,60,,49.4436,117.32
2,Office,9,Pacific,4,Warm,300000,6,4,60,100.0,36.6664,8.66
18,Lodging,5,South Atlantic,5,Hot or very hot,210000,3,9,168,,90.7699,48.46
5,Nonrefrigerated warehouse,5,South Atlantic,4,Warm,49000,1,4,60,,10.6694,470.02
5,Nonrefrigerated warehouse,6,East South Central,4,Warm,15250,1,8,40,,14.848,2990.63
2,Office,9,Pacific,1,Cold or very cold,102000,9,9,50,72.0,67.5727,15.06
26,Service,8,Mountain,2,Cool,13000,2,3,58,,57.1778,1626.87
14,Education,2,Middle Atlantic,3,Mixed mild,70000,2,9,40,,72.5086,303.46
2,Office,3,East North Central,2,Cool,2550,1,5,18,100.0,45.4604,1265.79
13,Public assembly,3,East North Central,2,Cool,50000,1,6,60,,137.8988,648.9
18,Lodging,5,South Atlantic,7,Withheld for confidentiality,144000,6,8,168,,51.0561,8.84
14,Education,5,South Atlantic,5,Hot or very hot,112000,2,8,80,,25.5549,44.64
15,Food service,3,East North Central,2,Cool,2500,2,2,98,,231.896,8.85
2,Office,3,East North Central,2,Cool,3000,1,6,40,100.0,32.4867,8384.09
25,Retail other than mall,4,West North Central,2,Cool,12000,1,7,84,,119.3442,623.52
14,Education,5,South Atlantic,4,Warm,114000,1,8,50,,92.8811,59.48
4,Laboratory,5,South Atlantic,3,Mixed mild,315000,12,5,168,,242.6262,50.03
13,Public assembly,7,West South Central,4,Warm,150000,1,8,80,,121.1913,17.47
2,Office,3,East North Central,2,Cool,6000,1,7,42,100.0,45.2942,1265.79
5,Nonrefrigerated warehouse,3,East North Central,3,Mixed mild,10000,1,8,40,,25.3022,3075.23
7,Public order and safety,9,Pacific,7,Withheld for confidentiality,285000,9,2,40,,75.9828,9.11
15,Food service,8,Mountain,1,Cold or very cold,6800,3,2,101,,272.5931,1049.59
2,Office,5,South Atlantic,4,Warm,2000,2,7,47,100.0,83.8695,2990.63
2,Office,1,New England,1,Cold or very cold,220000,4,4,168,100.0,47.6994,115.51
5,Nonrefrigerated warehouse,2,Middle Atlantic,3,Mixed mild,460000,2,9,130,,37.139,14.9
5,Nonrefrigerated warehouse,6,East South Central,4,Warm,36000,2,7,112,,55.0597,3420.76
18,Lodging,7,West South Central,7,Withheld for confidentiality,30000,2,8,168,,34.6258,495.15
14,Education,7,West South Central,5,Hot or very hot,800000,2,6,50,,25.4165,9.01
4,Laboratory,9,Pacific,3,Mixed mild,275000,7,7,72,,131.9264,17.76
14,Education,9,Pacific,3,Mixed mild,158000,6,2,42,,33.3847,9.11
2,Office,4,West North Central,1,Cold or very cold,21750,1,4,50,50.0,79.9417,460.21
18,Lodging,2,Middle Atlantic,7,Withheld for confidentiality,450000,18,4,168,,140.8268,50.03
2,Office,9,Pacific,3,Mixed mild,210000,1,8,50,90.0,37.3138,6.59
2,Office,9,Pacific,2,Cool,192000,4,7,60,100.0,42.9873,8.93
2,Office,8,Mountain,1,Cold or very cold,1400,2,4,45,100.0,98.7307,2577.06
14,Education,2,Middle Atlantic,1,Cold or very cold,300000,4,2,95,,86.8123,9.96
26,Service,1,New England,2,Cool,4200,2,8,60,,12.5074,1745.76
5,Nonrefrigerated warehouse,7,West South Central,5,Hot or very hot,8700,1,3,40,,16.4623,31.35
2,Office,3,East North Central,7,Withheld for confidentiality,1800000,18,6,65,85.0,19.966,15.06
12,Religious worship,3,East North Central,2,Cool,1600,2,2,4,,7.3981,4207.0
17,Nursing,1,New England,2,Cool,270000,4,8,168,,255.0425,8.74
15,Food service,3,East North Central,2,Cool,5300,1,8,130,,353.9875,1265.79
2,Office,8,Mountain,3,Mixed mild,600000,7,4,168,85.0,63.6947,8.84
12,Religious worship,5,South Atlantic,4,Warm,15000,3,5,32,,42.3397,1118.9
26,Service,3,East North Central,2,Cool,4500,1,4,40,,15.506,8786.36
26,Service,5,South Atlantic,4,Warm,52000,2,6,168,,113.1759,213.58
18,Lodging,6,East South Central,4,Warm,23000,2,7,168,,66.1212,1399.59
17,Nursing,2,Middle Atlantic,2,Cool,83000,4,8,168,,217.9908,303.46
2,Office,4,West North Central,1,Cold or very cold,5700,3,5,45,100.0,110.6493,1965.15
16,Inpatient health care,5,South Atlantic,7,Withheld for confidentiality,600000,5,4,168,,149.4714,10.07
5,Nonrefrigerated warehouse,3,East North Central,2,Cool,20000,2,5,98,,46.2965,3554.88
2,Office,3,East North Central,2,Cool,245000,12,6,60,94.0,56.5285,15.06
13,Public assembly,8,Mountain,4,Warm,30500,3,2,50,,43.2711,587.89
2,Office,7,West South Central,5,Hot or very hot,210000,12,6,60,75.0,64.4239,14.9
25,Retail other than mall,5,South Atlantic,3,Mixed mild,205000,1,7,168,,102.8862,14.9
25,Retail other than mall,5,South Atlantic,5,Hot or very hot,41000,2,8,77,,70.8942,117.32
13,Public assembly,2,Middle Atlantic,3,Mixed mild,66000,3,3,35,,114.4838,224.76
5,Nonrefrigerated warehouse,2,Middle Atlantic,3,Mixed mild,360000,1,7,144,,8.579,69.6
18,Lodging,5,South Atlantic,4,Warm,375000,8,4,168,,36.7326,5.89
18,Lodging,5,South Atlantic,7,Withheld for confidentiality,124000,5,8,168,,104.0439,17.7
5,Nonrefrigerated warehouse,6,East South Central,4,Warm,800000,2,5,14,,23.3448,52.07
24,Enclosed mall,9,Pacific,7,Withheld for confidentiality,1000000,1,7,74,95.0,39.0627,15.06
2,Office,1,New England,2,Cool,130000,3,8,168,100.0,75.3199,8.74
2,Office,7,West South Central,5,Hot or very hot,215000,4,9,125,100.0,58.5465,68.29
25,Retail other than mall,9,Pacific,4,Warm,146000,1,7,126,,54.0559,125.92
5,Nonrefrigerated warehouse,9,Pacific,5,Hot or very hot,100000,2,7,84,,55.2565,118.55
6,Food sales,3,East North Central,3,Mixed mild,2500,3,2,32,,146.498,2934.43
18,Lodging,6,East South Central,4,Warm,295000,18,4,168,,40.5201,64.52
18,Lodging,7,West South Central,7,Withheld for confidentiality,210000,4,6,168,,57.198,9.01
8,Outpatient health care,3,East North Central,2,Cool,2000,1,4,24,100.0,28.7485,1265.79
26,Service,7,West South Central,3,Mixed mild,1200,1,6,44,,42.9383,2990.63
13,Public assembly,4,West North Central,3,Mixed mild,9000,1,6,93,,161.2427,5115.88
18,Lodging,9,Pacific,7,Withheld for confidentiality,144000,12,8,168,,178.4978,9.11
14,Education,8,Mountain,7,Withheld for confidentiality,130000,3,8,80,,68.5463,6.87
18,Lodging,5,South Atlantic,7,Withheld for confidentiality,700000,18,9,168,,114.6736,9.01
12,Religious worship,2,Middle Atlantic,2,Cool,6800,2,2,30,,39.5322,2990.63
5,Nonrefrigerated warehouse,2,Middle Atlantic,3,Mixed mild,375000,1,8,48,,42.1173,14.9
14,Education,2,Middle Atlantic,7,Withheld for confidentiality,160000,12,2,168,,113.327,13.73
5,Nonrefrigerated warehouse,5,South Atlantic,4,Warm,22000,2,5,55,,20.627,1413.09
23,Strip shopping center,1,New England,2,Cool,150000,3,6,80,78.0,155.9878,175.02
14,Education,2,Middle Atlantic,1,Cold or very cold,110000,3,8,50,,91.1586,9.81
16,Inpatient health care,3,East North Central,7,Withheld for confidentiality,1000000,5,8,168,,158.7679,16.25
16,Inpatient health care,3,East North Central,7,Withheld for confidentiality,365000,5,3,168,,190.8015,10.17
18,Lodging,7,West South Central,3,Mixed mild,100000,9,4,168,,77.3282,97.52
13,Public assembly,7,West South Central,5,Hot or very hot,37500,1,5,168,,216.7619,329.67
25,Retail other than mall,6,East South Central,4,Warm,200000,1,7,168,,77.0348,18.35
11,Refrigerated warehouse,3,East North Central,2,Cool,300000,2,8,168,,144.8223,90.5
18,Lodging,9,Pacific,7,Withheld for confidentiality,70000,3,4,168,,84.5586,97.52
18,Lodging,9,Pacific,4,Warm,112000,3,6,168,,44.358,146.5
14,Education,6,East South Central,4,Warm,108000,1,8,68,,74.171,99.38
12,Religious worship,3,East North Central,2,Cool,10000,2,5,40,,41.0126,4384.99
16,Inpatient health care,4,West North Central,7,Withheld for confidentiality,600000,9,3,168,,147.9059,14.9
25,Retail other than mall,9,Pacific,2,Cool,205000,4,7,100,,118.2078,52.8
16,Inpatient health care,5,South Atlantic,7,Withheld for confidentiality,1000000,9,7,168,,194.0782,3.91
18,Lodging,3,East North Central,2,Cool,134000,3,9,168,,64.3355,285.94
14,Education,3,East North Central,7,Withheld for confidentiality,66000,4,5,119,,114.2313,305.57
2,Office,3,East North Central,7,Withheld for confidentiality,1800000,18,5,168,90.0,171.4309,15.06
24,Enclosed mall,3,East North Central,7,Withheld for confidentiality,500001,3,5,77,90.0,75.6596,49.37
14,Education,5,South Atlantic,3,Mixed mild,172000,2,8,50,,34.5215,224.76
13,Public assembly,1,New England,2,Cool,12000,3,8,54,,79.5238,1461.43
18,Lodging,9,Pacific,7,Withheld for confidentiality,61000,7,8,168,,94.7144,422.29
5,Nonrefrigerated warehouse,7,West South Central,5,Hot or very hot,37000,1,7,50,,23.6194,633.24
14,Education,2,Middle Atlantic,7,Withheld for confidentiality,87000,6,5,70,,81.9518,297.74
8,Outpatient health care,9,Pacific,3,Mixed mild,365000,12,7,72,100.0,62.3472,9.16
25,Retail other than mall,7,West South Central,5,Hot or very hot,205000,1,8,126,,92.0354,14.9
12,Religious worship,6,East South Central,3,Mixed mild,14000,1,8,6,,21.3064,1413.09
2,Office,4,West North Central,2,Cool,48000,3,7,168,95.0,146.6631,244.16
8,Outpatient health care,2,Middle Atlantic,2,Cool,28000,1,9,168,100.0,165.0369,460.21
25,Retail other than mall,2,Middle Atlantic,3,Mixed mild,1700,3,2,91,,112.2212,2934.43
8,Outpatient health care,9,Pacific,4,Warm,31000,2,6,168,50.0,109.396,611.8
13,Public assembly,3,East North Central,2,Cool,31000,3,8,71,,126.7993,141.31
5,Nonrefrigerated warehouse,4,West North Central,2,Cool,210000,1,7,60,,15.721,66.26
13,Public assembly,4,West North Central,3,Mixed mild,14000,1,4,45,,107.505,1632.49
2,Office,3,East North Central,2,Cool,290000,12,2,168,97.0,95.173,15.06
2,Office,3,East North Central,2,Cool,89000,5,4,45,100.0,89.132,27.22
2,Office,9,Pacific,4,Warm,14500,3,6,50,100.0,45.8445,1641.81
18,Lodging,2,Middle Atlantic,2,Cool,120000,5,2,168,,68.2735,50.03
25,Retail other than mall,8,Mountain,5,Hot or very hot,240000,1,8,126,,71.9362,17.3
13,Public assembly,5,South Atlantic,5,Hot or very hot,60000,2,7,98,,79.168,117.32
25,Retail other than mall,5,South Atlantic,4,Warm,5000,1,7,91,,107.7248,3320.27
8,Outpatient health care,7,West South Central,3,Mixed mild,6000,2,8,32,75.0,58.9742,1218.03
14,Education,8,Mountain,7,Withheld for confidentiality,168000,12,8,104,,89.979,5.89
13,Public assembly,3,East North Central,2,Cool,60000,4,2,70,,94.3497,306.64
15,Food service,7,West South Central,5,Hot or very hot,2900,2,4,84,,203.3466,2934.43
2,Office,7,West South Central,5,Hot or very hot,156000,8,6,55,92.0,64.3727,137.69
2,Office,5,South Atlantic,4,Warm,55000,2,4,168,100.0,86.091,589.53
14,Education,8,Mountain,5,Hot or very hot,280000,2,6,60,,42.5116,8.87
5,Nonrefrigerated warehouse,3,East North Central,1,Cold or very cold,52000,2,5,40,,32.0762,541.63
2,Office,2,Middle Atlantic,2,Cool,9500,2,3,55,100.0,48.3756,2934.43
16,Inpatient health care,9,Pacific,7,Withheld for confidentiality,800000,12,8,168,,108.9325,9.53
11,Refrigerated warehouse,6,East South Central,4,Warm,53000,1,9,168,,132.3946,605.33
23,Strip shopping center,2,Middle Atlantic,2,Cool,14000,1,3,51,85.0,134.2919,1428.4
2,Office,5,South Atlantic,3,Mixed mild,275000,8,4,60,60.0,60.8799,11.75
18,Lodging,9,Pacific,4,Warm,10000,2,6,168,,119.9032,1399.59
2,Office,2,Middle Atlantic,3,Mixed mild,600000,18,2,168,90.0,116.0835,14.9
8,Outpatient health care,3,East North Central,2,Cool,6400,2,8,75,100.0,45.8578,1265.79
25,Retail other than mall,8,Mountain,4,Warm,2600,1,5,168,,175.3792,2934.43
14,Education,5,South Atlantic,7,Withheld for confidentiality,250000,3,8,85,,98.5838,44.79
14,Education,2,Middle Atlantic,2,Cool,250000,3,3,45,,66.8167,44.64
18,Lodging,9,Pacific,7,Withheld for confidentiality,200000,8,6,168,,133.78,9.11
15,Food service,5,South Atlantic,4,Warm,3500,2,2,14,,64.1094,1218.03
2,Office,8,Mountain,3,Mixed mild,94000,3,7,40,95.0,56.9419,14.9
8,Outpatient health care,7,West South Central,3,Mixed mild,15000,1,7,64,85.0,127.0115,460.21
16,Inpatient health care,5,South Atlantic,7,Withheld for confidentiality,700000,6,4,168,,182.1208,16.55
5,Nonrefrigerated warehouse,5,South Atlantic,4,Warm,8500,1,7,50,,9.6745,2800.45
14,Education,5,South Atlantic,3,Mixed mild,200001,3,7,40,,52.9983,80.59
14,Education,5,South Atlantic,7,Withheld for confidentiality,60000,6,7,105,,163.6987,97.52
2,Office,2,Middle Atlantic,3,Mixed mild,52000,3,3,168,60.0,112.6547,117.32
23,Strip shopping center,3,East North Central,2,Cool,11250,1,8,55,34.0,79.9973,2009.74
6,Food sales,3,East North Central,3,Mixed mild,7500,1,8,168,,359.3283,1265.79
12,Religious worship,3,East North Central,2,Cool,4800,2,5,3,,3.7835,1472.45
2,Office,4,West North Central,2,Cool,152000,1,6,7,90.0,87.3133,14.9
2,Office,9,Pacific,4,Warm,700000,18,8,60,100.0,64.4843,15.06
23,Strip shopping center,5,South Atlantic,4,Warm,380000,1,8,75,97.0,101.8492,116.43
5,Nonrefrigerated warehouse,4,West North Central,1,Cold or very cold,410000,2,5,168,,90.11,11.33
12,Religious worship,5,South Atlantic,3,Mixed mild,1600,2,3,20,,51.3925,2934.43
23,Strip shopping center,8,Mountain,3,Mixed mild,295000,1,7,99,100.0,175.6142,72.88
5,Nonrefrigerated warehouse,3,East North Central,2,Cool,44500,1,7,65,,13.5436,611.8
13,Public assembly,3,East North Central,2,Cool,33000,5,5,168,,131.6042,253.07
2,Office,9,Pacific,4,Warm,32500,2,6,45,90.0,92.1176,611.8
13,Public assembly,6,East South Central,4,Warm,2400,1,6,12,,13.0204,460.31
14,Education,2,Middle Atlantic,3,Mixed mild,250000,2,4,40,,55.1516,8.84
8,Outpatient health care,1,New England,1,Cold or very cold,2500,1,7,41,100.0,151.6812,1195.14
14,Education,4,West North Central,3,Mixed mild,78000,3,2,50,,110.7868,99.04
26,Service,3,East North Central,2,Cool,3000,1,2,65,,47.0957,3075.23
25,Retail other than mall,5,South Atlantic,4,Warm,205000,1,6,168,,120.5437,83.17
12,Religious worship,5,South Atlantic,3,Mixed mild,8000,1,6,40,,25.8621,2990.63
12,Religious worship,7,West South Central,3,Mixed mild,100000,3,7,40,,37.2709,117.32
2,Office,2,Middle Atlantic,3,Mixed mild,126000,4,8,50,100.0,60.2685,137.69
26,Service,6,East South Central,4,Warm,2300,1,9,50,,77.6183,2990.63
25,Retail other than mall,7,West South Central,5,Hot or very hot,225000,1,7,168,,92.8698,14.9
16,Inpatient health care,4,West North Central,7,Withheld for confidentiality,200000,4,3,168,,209.72,52.3
14,Education,2,Middle Atlantic,2,Cool,24500,4,2,105,,251.955,502.9
7,Public order and safety,2,Middle Atlantic,3,Mixed mild,192000,4,7,168,,96.0959,97.52
2,Office,2,Middle Atlantic,7,Withheld for confidentiality,1500000,18,6,168,75.0,59.5216,14.9
13,Public assembly,8,Mountain,4,Warm,39000,1,9,50,,32.4147,240.4
6,Food sales,3,East North Central,2,Cool,126000,1,8,168,,161.4977,125.92
8,Outpatient health care,8,Mountain,1,Cold or very cold,2200,1,8,40,100.0,71.2755,1049.59
25,Retail other than mall,8,Mountain,1,Cold or very cold,15000,3,3,74,,45.87,2577.06
16,Inpatient health care,8,Mountain,7,Withheld for confidentiality,300000,3,5,168,,214.4207,16.62
8,Outpatient health care,5,South Atlantic,4,Warm,18000,1,7,30,100.0,79.9872,516.96
23,Strip shopping center,7,West South Central,4,Warm,81000,1,7,75,74.0,147.0678,395.28
26,Service,9,Pacific,1,Cold or very cold,3100,1,5,70,,37.3635,884.91
2,Office,9,Pacific,4,Warm,154000,5,8,50,96.0,31.8558,15.06
5,Nonrefrigerated warehouse,7,West South Central,5,Hot or very hot,9600,1,8,70,,2.4639,6659.94
7,Public order and safety,4,West North Central,1,Cold or very cold,3700,1,7,0,,60.9803,1218.03
91,Other,3,East North Central,2,Cool,138000,1,2,80,,94.7597,237.36
14,Education,8,Mountain,3,Mixed mild,45500,2,3,60,,42.3644,431.11
26,Service,1,New England,1,Cold or very cold,5500,1,7,55,,13.1169,1195.14
25,Retail other than mall,5,South Atlantic,4,Warm,205000,1,8,168,,107.2122,55.7
14,Education,2,Middle Atlantic,1,Cold or very cold,28000,1,5,45,,109.7901,224.76
25,Retail other than mall,5,South Atlantic,4,Warm,35500,1,7,58,,42.2245,591.56
7,Public order and safety,5,South Atlantic,7,Withheld for confidentiality,350000,12,7,45,,72.7753,50.03
2,Office,4,West North Central,1,Cold or very cold,305000,12,2,62,70.0,73.7501,14.9
2,Office,5,South Atlantic,3,Mixed mild,305000,7,6,60,100.0,103.495,68.33
12,Religious worship,7,West South Central,5,Hot or very hot,76000,2,8,68,,19.5686,623.52
14,Education,9,Pacific,3,Mixed mild,250000,3,7,35,,32.3344,9.11
5,Nonrefrigerated warehouse,8,Mountain,3,Mixed mild,57000,2,7,40,,14.6908,117.32
16,Inpatient health care,5,South Atlantic,7,Withheld for confidentiality,500001,6,5,168,,255.759,8.92
13,Public assembly,5,South Atlantic,3,Mixed mild,310000,3,9,168,,291.4967,58.26
2,Office,9,Pacific,4,Warm,106000,5,6,54,89.0,17.745,141.31
14,Education,2,Middle Atlantic,7,Withheld for confidentiality,120000,12,4,83,,89.2348,9.01
12,Religious worship,6,East South Central,4,Warm,132000,1,8,48,,19.2889,240.4
2,Office,5,South Atlantic,5,Hot or very hot,2100,1,4,40,100.0,16.9186,1218.03
5,Nonrefrigerated warehouse,7,West South Central,5,Hot or very hot,112000,1,8,50,,8.2396,31.35
2,Office,3,East North Central,2,Cool,60000,2,8,90,100.0,37.5233,611.8
14,Education,2,Middle Atlantic,7,Withheld for confidentiality,415000,8,2,95,,105.6566,5.89
14,Education,3,East North Central,3,Mixed mild,93000,1,7,60,,87.9415,282.95
13,Public assembly,2,Middle Atlantic,2,Cool,4050,1,2,42,,6.8081,4468.96
2,Office,2,Middle Atlantic,3,Mixed mild,36000,4,8,55,95.0,105.8302,224.76
14,Education,3,East North Central,2,Cool,50000,3,3,45,,69.4743,306.64
23,Strip shopping center,5,South Atlantic,4,Warm,136000,2,5,71,78.0,116.4515,10.71
14,Education,6,East South Central,4,Warm,150000,2,4,40,,41.1235,142.75
26,Service,8,Mountain,4,Warm,6100,1,2,168,,50.2736,5631.1
16,Inpatient health care,7,West South Central,7,Withheld for confidentiality,500001,4,6,168,,109.8021,10.07
25,Retail other than mall,3,East North Central,2,Cool,156000,1,8,168,,143.1583,125.92
13,Public assembly,5,South Atlantic,5,Hot or very hot,5000,1,8,56,,13.111,2990.63
24,Enclosed mall,3,East North Central,7,Withheld for confidentiality,500001,2,5,84,95.0,34.5019,15.06
16,Inpatient health care,3,East North Central,7,Withheld for confidentiality,600000,6,5,168,,248.2402,13.0
12,Religious worship,2,Middle Atlantic,3,Mixed mild,2500,3,4,14,,45.6104,3257.88
16,Inpatient health care,2,Middle Atlantic,7,Withheld for confidentiality,80000,1,6,168,,133.0924,55.13
25,Retail other than mall,6,East South Central,4,Warm,46000,1,9,168,,22.4174,623.52
91,Other,8,Mountain,4,Warm,7000,1,3,87,,0.0177,1195.14
25,Retail other than mall,4,West North Central,3,Mixed mild,186000,1,8,168,,139.4492,125.04
13,Public assembly,3,East North Central,2,Cool,200000,3,7,112,,140.7961,15.06
2,Office,7,West South Central,4,Warm,7200,1,8,35,100.0,73.7821,2990.63
2,Office,2,Middle Atlantic,3,Mixed mild,150000,18,7,168,90.0,144.1566,14.9
2,Office,5,South Atlantic,3,Mixed mild,370000,12,7,69,100.0,53.8436,14.9
2,Office,9,Pacific,4,Warm,8400,1,4,45,100.0,35.7687,1531.55
18,Lodging,2,Middle Atlantic,7,Withheld for confidentiality,100000,2,7,168,,35.2231,99.04
5,Nonrefrigerated warehouse,9,Pacific,3,Mixed mild,200000,1,7,40,,10.5529,70.08
14,Education,5,South Atlantic,4,Warm,93000,1,8,60,,48.3394,99.38
18,Lodging,3,East North Central,2,Cool,1500,1,2,168,,244.7987,3271.02
12,Religious worship,5,South Atlantic,4,Warm,6000,1,6,6,,41.8337,2800.45
8,Outpatient health care,7,West South Central,5,Hot or very hot,1800,1,5,27,100.0,30.7422,1218.03
14,Education,2,Middle Atlantic,3,Mixed mild,170000,3,4,35,,66.6684,61.88
7,Public order and safety,6,East South Central,4,Warm,13250,1,9,168,,24.3752,8.7
8,Outpatient health care,4,West North Central,3,Mixed mild,200000,12,6,76,100.0,116.861,50.09
14,Education,3,East North Central,2,Cool,126000,2,8,68,,81.9872,45.1
5,Nonrefrigerated warehouse,7,West South Central,3,Mixed mild,7800,2,3,12,,55.8937,7397.53
25,Retail other than mall,7,West South Central,5,Hot or very hot,124000,3,9,84,,105.8864,117.32
18,Lodging,2,Middle Atlantic,7,Withheld for confidentiality,56000,4,8,168,,55.9565,8.84
16,Inpatient health care,1,New England,7,Withheld for confidentiality,400000,5,2,168,,432.9656,8.82
14,Education,2,Middle Atlantic,7,Withheld for confidentiality,40000,2,9,70,,73.2802,502.9
5,Nonrefrigerated warehouse,9,Pacific,4,Warm,475000,1,5,90,,30.7716,70.08
23,Strip shopping center,5,South Atlantic,4,Warm,81000,1,5,42,79.0,50.8012,395.28
14,Education,9,Pacific,3,Mixed mild,245000,1,4,35,,29.7134,9.11
13,Public assembly,3,East North Central,2,Cool,330000,2,6,12,,85.6363,12.34
2,Office,9,Pacific,4,Warm,1200,1,4,54,100.0,124.8042,1265.79
16,Inpatient health care,6,East South Central,7,Withheld for confidentiality,210000,12,7,168,,139.3213,52.53
16,Inpatient health care,7,West South Central,7,Withheld for confidentiality,500001,8,9,168,,114.5945,7.06
14,Education,4,West North Central,2,Cool,34000,1,3,64,,48.0541,504.63
14,Education,2,Middle Atlantic,7,Withheld for confidentiality,245000,12,4,168,,141.2446,8.84
5,Nonrefrigerated warehouse,9,Pacific,4,Warm,130000,2,7,50,,4.7318,70.08
